name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case diameter,price
Patek Philippe Calatrava,Manual winding,Yellow gold,1955,Very good,1509,"No original box, no original papers","Spain, Barcelona",35 mm,"$15,590"
Patek Philippe Calatrava,Manual winding,Rose gold,2020,Unworn,5196R-001,"Original box, original papers","United States of America, New York, New York",37 mm,"$28,820"
Patek Philippe Annual Calendar,Automatic,Rose gold,2020,Unworn,5396R-014,"Original box, original papers","Spain, Madrid",38.5 mm,"$64,586"
Patek Philippe Twenty~4,Quartz,Rose gold,-,Good,XXXXX,"No original box, no original papers","United States of America, New York, New York",21 mm,"$19,995"
Patek Philippe Nautilus,Automatic,White gold,2024,New,5980/60G-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$235,000"
Patek Philippe Grand Complications,Automatic,Platinum,2022,Unworn,5520P-001,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$175,000"
Patek Philippe Aquanaut,-,White gold,2021,-,5968G-010,"Original box, original papers","Germany, Stuttgart-Mitte",42 mm,"$133,626"
Patek Philippe Calatrava,Manual winding,White gold,2012,Very good,5196G-001,"Original box, original papers","Sweden, Jönköping",37 mm,"$27,789"
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,5711/1300A-001,"Original box, original papers","United Kingdom, London",40 mm,Price on request
Patek Philippe Chronograph,Manual winding,Rose gold,-,Very good,7150/250R-001,"Original box, original papers","Czech Republic, Praha 1",38 mm,"$62,248"
Patek Philippe Nautilus,Automatic,Rose gold,2023,Unworn,5980/1R-001,"Original box, original papers","Spain, Madrid",40.5 mm,"$259,459"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,4947G-001,"No original box, no original papers","Hong Kong, Kwun Tong",38 mm,"$42,131"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,2024,New,5270/1R-001,"Original box, original papers","Austria, Wien",41 mm,"$232,734"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,3800/1a,"Original box, no original papers","United States of America, New York, New York",37 mm,"$48,000"
Patek Philippe World Time Chronograph,Automatic,Steel,2023,Very good,5935A-001,"Original box, original papers","Switzerland, Geneva",39.5 mm,"$61,965"
Patek Philippe Twenty~4,Quartz,Rose gold,2007,Very good,4908/11R-011,"Original box, original papers","Spain, Barcelona",22 mm,"$20,601"
Patek Philippe World Time,Automatic,Rose gold,2001,Very good,5110R-001,"Original box, original papers","Monaco, Monaco",37 mm,"$83,517"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2023,New,5961R-010,"Original box, original papers","Austria, Wien",40.5 mm,"$188,192"
Patek Philippe World Time Chronograph,Automatic,White gold,-,Good,5930G-001,"Original box, original papers","Japan, Fukuoka Chuo-ku, Fukuoka",39.5 mm,"$51,790"
Patek Philippe Nautilus,Automatic,Rose gold,-,Unworn,5712R-001,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2010,Very good,5960P,"Original box, original papers","Austria, Wien",41 mm,"$70,043"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,-,New,5905R-010,"Original box, original papers","United States of America, Florida, Miami",42 mm,"$77,499"
Patek Philippe World Time,Automatic,Steel,-,Unworn,5935A-001,"Original box, original papers","United States of America, New York, New York",41 mm,Price on request
Patek Philippe Calatrava,-,Rose gold,-,Very good,4934R,"Original papers, no original box","Germany, Hamburg",35 mm,"$24,387"
Patek Philippe Aquanaut,Automatic,Steel,2023,New,5167A-001,"Original box, original papers","Hong Kong, Hong Kong",40 mm,"$64,861"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2016,Very good,5905P-010,"Original box, original papers","United States of America, Pennsylvania",42 mm,"$66,950"
Patek Philippe Nautilus,Quartz,White gold,2016,Unworn,7010G-012,"Original box, original papers","United States of America, New York, New york",-,"$35,450"
Patek Philippe Aquanaut,Automatic,Steel,2015,Very good,5167A-001,"Original box, original papers","United States of America, Florida, Miami",40 mm,"$57,000"
Patek Philippe Perpetual Calendar,Automatic,Rose gold,-,New,7140R-001,"Original box, original papers","UAE, Dubai",35.1 mm,"$71,193"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,5396G-011,"Original box, original papers","Hong Kong, KOWLOON",38 mm,"$33,000"
Patek Philippe Nautilus,Automatic,Platinum,2012,Very good,5711/1P-010,"Original box, original papers","United States of America, New York, New York",-,"$750,000"
Patek Philippe Nautilus,Automatic,Steel,2021,Unworn,7118/1200A-011,"Original box, original papers","United States of America, New York, New York",35.2 mm,"$72,000"
Patek Philippe Calatrava,Automatic,Steel,2023,New,5212A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$48,500"
Patek Philippe Aquanaut,Quartz,Steel,2024,Unworn,5267/200A-011,"Original box, original papers","United States of America, Florida, Miami",38.8 mm,"$59,575"
Patek Philippe Calatrava,Manual winding,Yellow gold,1945,Very good,96,"Original box, no original papers","France, Paris",31 mm,"$21,046"
Patek Philippe Annual Calendar,Automatic,White gold,2021,Very good,5205G-013,"Original box, original papers","Germany, Heikendorf",40 mm,"$54,563"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Unworn,5000j,"Original box, no original papers","United States of America, Florida, North Miami Beach",33 mm,"$18,900"
Patek Philippe Nautilus,Automatic,White gold,2019,New,5740/1G-001,"Original box, original papers","Switzerland, Geneve",40 mm,"$272,822"
Patek Philippe Twenty~4,Quartz,Steel,-,Very good,4910/10A-011,"No original box, no original papers","Italy, Castellammare di Stabia (NA)",25 x 30 mm,"$7,071"
Patek Philippe Calatrava,Manual winding,-,1990,Very good,4809/2,"No original box, no original papers","United States of America, Indiana, greenwood",25 mm,"$10,600"
Patek Philippe Annual Calendar,Automatic,White gold,2022,Unworn,5205G-013,"Original box, original papers","Italy, Bologna",40 mm,"$60,132"
Patek Philippe Calatrava,Automatic,White gold,-,Very good,5107G-001,"No original box, no original papers","Hong Kong, Kwun Tong",37 mm,"$22,999"
Patek Philippe World Time,Automatic,White gold,2015,Unworn,5575G-001,"Original box, original papers","United States of America, Texas, Houston",39.8 mm,"$132,000"
Patek Philippe Aquanaut,Quartz,Steel,-,Very good,5067A-014,"No original box, no original papers","Hong Kong, MONG KOK",-,"$36,121"
Patek Philippe Calatrava,Automatic,Yellow gold,1998,Very good,3802/205,"Original box, original papers","Italy, Uzzano",33 mm,"$15,478"
Patek Philippe Nautilus,Automatic,Rose gold,2023,Unworn,7118/1200R-010,"Original box, original papers","France, Saint-tropez",35.2 mm,"$139,195"
Patek Philippe Perpetual Calendar,Automatic,Yellow gold,-,Very good,5327J-001,"Original box, original papers","Hong Kong, KOWLOON",39 mm,"$65,000"
Patek Philippe Aquanaut,Automatic,Steel,2023,New,5164A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$85,500"
Patek Philippe Perpetual Calendar,Automatic,Rose gold,2001,Very good,5059 R,"Original box, no original papers","Belgium, KNOKKE-LE-ZOUTE",36 mm,"$46,625"
Patek Philippe Nautilus,Automatic,Gold/Steel,2022,Unworn,5740/1G-001,"Original box, original papers","United States of America, Florida, Miami",40 mm,"$225,000"
Patek Philippe Complications,Manual winding,White gold,-,Unworn,4968G-010,"Original box, original papers","United States of America, New York, New York",33 mm,"$58,225"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5980/1A-001,"Original box, original papers","United States of America, New York, New York",40.5 x 44 mm,"$115,000"
Patek Philippe Calatrava,Automatic,Yellow gold,1966,Very good,3514,"No original box, no original papers","Germany, München",34 mm,"$15,033"
Patek Philippe World Time,Automatic,Platinum,2013,New,5130P-001,"Original box, original papers","Italy, Milano",39.5 mm,Price on request
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,-,Unworn,5960P-015,"Original box, original papers","United States of America, New York, NEW YORK",40.5 mm,"$77,500"
Patek Philippe Nautilus,Automatic,Gold/Steel,2020,Unworn,5980/1AR-001,"Original box, original papers","United Kingdom, Bishops Stortford",40.5 mm,"$117,234"
Patek Philippe Calatrava,Automatic,White gold,2024,New,6007G-001,"Original box, original papers","United States of America, Florida, Miami",40 mm,"$33,499"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,2021,New,5270P-001,"Original box, original papers","United States of America, New York, New york",41 mm,"$194,300"
Patek Philippe Chronograph,Manual winding,Yellow gold,-,Very good,5170J,"Original box, no original papers","United States of America, Georgia, Atlanta",39 mm,"$47,260"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,-,Unworn,5204/1R-001,"Original box, original papers","United States of America, New York, New York",-,"$245,000"
Patek Philippe Aquanaut,Automatic,White gold,2023,Unworn,5968G-010,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$126,380"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,New,7968/300R-001,"Original box, original papers","UAE, Dubai",39.9 mm,"$435,000"
Patek Philippe Aquanaut,Automatic,Rose gold,2023,New,5968R-001,"Original box, original papers","Italy, Milano",42 mm,"$141,422"
Patek Philippe,-,Yellow gold,1937,Very good,514,"Original papers, no original box","Hong Kong, Hongkong",24 x 44 mm,"$74,870"
Patek Philippe Aquanaut,Automatic,White gold,2024,New,5968G-010,"Original box, original papers","The Netherlands, Amsterdam",42.2 mm,"$139,189"
Patek Philippe Nautilus,Automatic,Rose gold,2020,Very good,5980/1400R-011,"Original box, original papers","Hong Kong, 999077",-,"$736,815"
Patek Philippe Nautilus,Automatic,Rose gold,2021,Very good,5980R-001,"Original box, original papers","Ireland, Dublin",40.5 mm,"$136,962"
Patek Philippe Aquanaut,Automatic,Steel,2018,Unworn,5167A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$125,000"
Patek Philippe Golden Ellipse,Automatic,Platinum,2024,New,5738P-001,"Original box, original papers","Spain, Madrid",34.5 x 39.5 mm,"$72,214"
Patek Philippe Twenty~4,Automatic,Steel,2022,Unworn,7300/1200A-001,"Original box, original papers","United Kingdom, Totnes",36 mm,"$22,808"
Patek Philippe Nautilus,Automatic,White gold,2023,Unworn,5811/1G,"Original box, original papers","United States of America, California, Del Mar",40 mm,"$157,500"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2018,Unworn,5905P-010,"Original box, original papers","United Kingdom, Bishops Stortford",42 mm,"$71,618"
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Very good,4858J,"No original box, no original papers","Taiwan, Taipei",29 mm,"$16,000"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,-,Very good,5960P-001,"No original box, no original papers","United States of America, New York, New York",40.5 mm,"$59,500"
Patek Philippe Nautilus,Automatic,Steel,2013,Very good,5712/1A-001,"Original box, original papers","The Netherlands, Maastricht",40 mm,"$127,447"
Patek Philippe Nautilus,Automatic,Gold/Steel,2021,New,5980/1AR-001,"Original box, original papers","United States of America, New York, New York",40.5 x 38.5 mm,"$175,000"
Patek Philippe Annual Calendar,Automatic,White gold,2024,Unworn,5205G-013,"Original box, original papers","United States of America, Florida, Miami",40 mm,"$62,248"
Patek Philippe World Time,Automatic,Platinum,2010,Unworn,5130p-014,"Original box, original papers","Switzerland, Geneva",39.5 mm,Price on request
Patek Philippe,-,Rose gold,-,Good,-,"No original box, no original papers","Spain, barcelona",27mm mm,"$8,352"
Patek Philippe Twenty~4,Quartz,Steel,2006,Very good,4910/10A-011,"Original papers, no original box","Spain, Barcelona",25 x 30 mm,"$8,574"
Patek Philippe Gondolo,Manual winding,White gold,-,Very good,23-300,"No original box, no original papers","Spain, Barcelona","25,80 mm","$7,238"
Patek Philippe Calatrava,Automatic,Yellow gold,1958,Very good,2551J,"No original box, no original papers","United States of America, New York, New York",36 mm mm,"$19,500"
Patek Philippe Nautilus,Automatic,Gold/Steel,2021,Unworn,5980/1AR-001,"Original box, original papers","United States of America, New York, New York",40.5 x 38.5 mm,"$135,000"
Patek Philippe Twenty~4,Quartz,Steel,2011,Very good,4910/10A-011,"Original box, original papers","United Kingdom, London",25 x 30 mm,"$11,723"
Patek Philippe Perpetual Calendar,Automatic,Platinum,-,Unworn,5496P-015,"Original box, original papers","France, Paris",39.5 mm,Price on request
Patek Philippe Pagoda,Manual winding,Yellow gold,1997,Very good,4900,"No original box, no original papers","Italy, Bologna",25 x 32 mm,"$11,136"
Patek Philippe Nautilus,Automatic,Steel,2022,New,5726A-001,"Original box, original papers","United States of America, Rhode Island, Newport",40.5 mm,"$85,000"
Patek Philippe Aquanaut,Automatic,-,-,Very good,5168G-010,"Original box, no original papers","Japan, Kobe city, Hyogo",42.2 mm,"$74,747"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5712/1A,"Original box, original papers","United States of America, New York, Great Neck",40 mm,"$114,999"
Patek Philippe Calatrava,Manual winding,White gold,-,Very good,3796G-001,"Original box, original papers","Japan, Nagoya Shi Naka Ku",-,"$15,753"
Patek Philippe Twenty~4,Automatic,Rose gold,-,Unworn,4 7300/1200R-010,"Original box, original papers","United Kingdom, London",36 mm,Price on request
Patek Philippe Chronograph,Manual winding,Yellow gold,1938,Very good,130,"Original box, original papers","Italy, Genova",33 x 42 mm,"$71,825"
Patek Philippe Nautilus,Automatic,Rose gold,2010,Very good,5980R,"Original box, original papers","United Kingdom, London",40.5 mm,"$119,906"
Patek Philippe Chronograph,Manual winding,White gold,2014,Very good,5170G,"Original box, original papers","Austria, Wien",39 mm,"$65,811"
Patek Philippe Travel Time,Automatic,White gold,2018,Very good,5524G-001,"Original box, original papers","United States of America, Massachusetts, Pittsfield",42 mm,"$40,995"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,2021,Unworn,5270/1R-001,"Original box, original papers","United States of America, New York, New York",41 mm,"$175,000"
Patek Philippe Annual Calendar,Automatic,White gold,2012,Very good,5146G-001,"Original box, original papers","Germany, Hamburg",39 mm,"$41,480"
Patek Philippe Calatrava,Automatic,White gold,1972,Good,3558,"No original box, no original papers","Italy, italia",-,"$12,806"
Patek Philippe Calatrava,Automatic,Steel,-,Very good,5212A-001,"Original box, original papers",China,40 mm,"$41,703"
Patek Philippe Nautilus,Automatic,Steel,2016,New,5726/1A-010,"Original box, original papers","Switzerland, Genève",40.5 mm,"$140,309"
Patek Philippe Nautilus,Automatic,Steel,2020,Unworn,5990/1A-001,"Original box, original papers","United Kingdom, Canary Wharf",40.5 mm,"$114,686"
Patek Philippe Grand Complications,Manual winding,Platinum,2018,Very good,5370P-001,"Original box, original papers","United States of America, Pennsylvania",41 mm,"$214,950"
Patek Philippe World Time,Automatic,White gold,-,Very good,5131G,"Original box, original papers","United States of America, New York, Greenvale",39 mm,"$158,999"
Patek Philippe World Time,Automatic,White gold,2024,New,5231G-001,"Original box, original papers","United States of America, Florida, Sunny Isles Beach",38.5 mm,Price on request
Patek Philippe Perpetual Calendar,Automatic,White gold,2009,Very good,5140G-001,"Original box, original papers","United States of America, New York, Hartsdale",37 mm,"$54,500"
Patek Philippe Golden Ellipse,Manual winding,Yellow gold,-,Very good,3586,"No original box, no original papers","Italy, Napoli",36 mm,Price on request
Patek Philippe Golden Ellipse,Manual winding,Yellow gold,-,Good,4226,"No original box, no original papers","Germany, München",23 x 28 mm,"$6,336"
Patek Philippe Golden Ellipse,Automatic,Yellow gold,1995,Very good,3738/100,"No original box, no original papers","United Kingdom, London",31 x 35.6 mm,"$20,853"
Patek Philippe Aquanaut,Automatic,Steel,2023,Unworn,5164A-001,"Original box, original papers","Spain, Madrid",40.8 mm,"$100,220"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,5235G-001,"Original box, no original papers","United States of America, New York, Hauppauge",40.5 mm,Price on request
Patek Philippe Aquanaut,Automatic,Steel,-,Very good,5164A-001,"No original box, no original papers","United States of America, New York, New York",40.8 mm,"$72,000"
Patek Philippe Nautilus,Automatic,Steel,-,Good,341XXXX,"No original box, no original papers","United States of America, New York, New York",33 mm,"$79,995"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,-,Very good,5960R-001,"Original box, original papers","Czech Republic, Praha 1",40.5 mm,"$54,453"
Patek Philippe,Manual winding,White gold,-,Very good,3583/1,"Original box, no original papers","United States of America, New York, New York",34 mm,"$8,000"
Patek Philippe World Time,Automatic,White gold,2022,Very good,5231G,"Original box, original papers","Austria, Baden bei Wien",38.5 mm,"$113,583"
Patek Philippe Calatrava,Manual winding,-,-,Very good,5119R,"No original box, no original papers","Japan, Chuo-ku, Tokyo",36 mm,"$14,750"
Patek Philippe,Automatic,Yellow gold,1999,Very good,5085/1J,"No original box, no original papers","Germany, Göppingen",37 mm,"$65,700"
Patek Philippe Nautilus,Automatic,Rose gold,2022,New,5711/1R-001,"Original box, original papers","UAE, Al Wasl, Jumeira 1, Dubai",40mm mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2019,Very good,5711/1A-010,"Original box, original papers","Hong Kong, MONG KOK",40 x 38 mm,"$120,185"
Patek Philippe Annual Calendar Chronograph,Automatic,Steel,2015,Very good,5960/1A-001,"Original box, original papers","Italy, Forte dei Marmi",40.5 mm,"$77,392"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Very good,3601/3,"No original box, no original papers","United States of America, California, West Hollywood",33 mm,"$10,500"
Patek Philippe World Time,Automatic,Yellow gold,2020,Very good,5231J-001,"Original box, original papers","Germany, Nürnberg",38.5 mm,"$121,367"
Patek Philippe Nautilus,Automatic,White gold,2024,New,5980/60G,"Original box, original papers","United States of America, New York, New York",-,"$230,000"
Patek Philippe Chronograph,Manual winding,Rose gold,2016,Very good,5170R-001,"Original box, original papers","Hong Kong, 999077",39.4 mm,"$58,883"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,5396/1G-010,"Original box, no original papers","Japan, Tokyo",38.5 mm,"$42,943"
Patek Philippe Nautilus,Automatic,Steel,2021,Unworn,5711-1300A-001,"Original box, original papers","United Kingdom, Bishops Stortford",40 mm,"$625,530"
Patek Philippe Travel Time,Automatic,White gold,-,Very good,5524G-001,"Original box, original papers","Czech Republic, Praha 1",42 mm,"$52,337"
Patek Philippe Aquanaut,Automatic,Rose gold,2021,Very good,5164R,"No original box, no original papers","United States of America, New York, New York",41 mm,"$115,000"
Patek Philippe Calatrava,Automatic,White gold,-,Fair,5120G-001,"No original box, no original papers","Japan, Nagoya Shi Naka Ku",35 mm,"$16,409"
Patek Philippe Perpetual Calendar,Automatic,Rose gold,2020,Unworn,5159R-001,"Original box, original papers","United States of America, New York, New York",38 mm,"$96,825"
Patek Philippe Travel Time,Automatic,Rose gold,-,New,7234R-001,"Original box, original papers","United States of America, California, Newport Beach",37.5 mm,"$41,500"
Patek Philippe Sky Moon Tourbillon,Manual winding,Rose gold,2023,Unworn,6002R-001,"Original box, original papers","France, Paris",44 mm,Price on request
Patek Philippe Aquanaut,Automatic,Rose gold,2021,Unworn,5268/200R-001,"Original box, original papers","United States of America, New York, New York",38.8 mm,Price on request
Patek Philippe Aquanaut,Automatic,Rose gold,2023,New,5968R-001,"Original box, original papers","Germany, Bamberg",42.2 mm,"$150,219"
Patek Philippe Chronograph,Manual winding,Rose gold,1943,Very good,-,"No original box, no original papers","United Kingdom, London",33 mm,Price on request
Patek Philippe Pagoda,Manual winding,White gold,1997,Very good,5500g,"Original box, original papers","Italy, Riccione",40 x 29 mm,Price on request
Patek Philippe Nautilus,Automatic,White gold,-,Very good,5712G-001,"Original box, original papers","Germany, Berlin",40 x 38 mm,"$114,500"
Patek Philippe Calatrava,Automatic,White gold,2023,New,5924G-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$84,000"
Patek Philippe Perpetual Calendar Chronograph,Automatic,Platinum,-,Unworn,5270P-014,"Original box, original papers","United Kingdom, London",41 mm,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,2022,Unworn,5990/1R-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$268,000"
Patek Philippe Nautilus,Automatic,Rose gold,2008,Very good,5712R-001,"Original box, original papers","France, Paris",40 x 38 mm,"$99,107"
Patek Philippe Perpetual Calendar,Automatic,White gold,-,Very good,5327G-001,"Original papers, no original box","Hong Kong, KOWLOON",39 mm,"$64,000"
Patek Philippe Calatrava,-,-,-,New,5000,"No original box, no original papers","Belgium, Antwerpen",44 mm,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,2024,New,7118/1R-001,"Original box, original papers","Spain, Madrid",35.2 mm,"$99,664"
Patek Philippe Nautilus,Automatic,Rose gold,-,Unworn,5980R-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,Price on request
Patek Philippe Calatrava,Manual winding,White gold,-,Very good,5196G-001,"Original box, original papers","United States of America, New York, Hauppauge",37 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,7118/1A-011,"Original box, original papers","United Kingdom, London",35 mm,Price on request
Patek Philippe Annual Calendar,Automatic,Yellow gold,2005,Very good,5146J-010,"Original box, original papers","United States of America, Florida, Boca Raton",39 mm,"$37,500"
Patek Philippe Annual Calendar Chronograph,Automatic,Steel,-,Very good,5960/1A-010,"Original box, original papers","United States of America, New York, Great Neck",40.5 mm,"$82,999"
Patek Philippe Nautilus,Automatic,Rose gold,2015,Unworn,5980R-001,"Original box, original papers","Italy, Forte dei Marmi",40.5 mm,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,2022,Unworn,5980/R,"Original box, original papers","United States of America, Florida, Miami",40.5 mm,"$128,250"
Patek Philippe,Manual winding,Yellow gold,1982,Very good,4399/1,"No original box, no original papers","United Kingdom, London",30 x 22 mm,"$81,784"
Patek Philippe Nautilus,Automatic,Rose gold,2014,Very good,5980/1AR-001,"Original box, original papers","Poland, Kraków",40.5 x 38.5 mm,"$156,986"
Patek Philippe Annual Calendar,Automatic,Steel,2024,Unworn,4947/1A-001,"Original box, original papers","Spain, Madrid",38 mm,"$46,770"
Patek Philippe Calatrava,Manual winding,Yellow gold,1945,Good,96,"No original box, no original papers","Israel, holon",31 mm,"$6,785"
Patek Philippe Nautilus,Quartz,-,2013,Very good,7010R-001,"Original box, original papers","Japan, Tokyo",32 mm,"$38,419"
Patek Philippe Aquanaut,Automatic,White gold,2023,Very good,5168G-001,"Original box, original papers","United States of America, Arizona, Scottsdale",42.2 mm,"$78,500"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Very good,5146R-001,"No original box, no original papers","Hong Kong, Hong Kong",39 mm,Price on request
Patek Philippe Ellipse,Quartz,Yellow gold,1985,Very good,-,"No original box, no original papers","Germany, Bischofsheim",36 mm,"$17,816"
Patek Philippe Gondolo,Manual winding,White gold,-,Very good,5124G,"No original box, no original papers","United States of America, Florida, Boca Raton",33 x 43 mm,"$21,888"
Patek Philippe Gondolo,Manual winding,Rose gold,-,Unworn,7099R-001,"Original box, original papers","Czech Republic, Praha 1",29.6 mm,"$106,011"
Patek Philippe Annual Calendar Chronograph,Automatic,-,-,New,5961R-010,"Original box, original papers","United States of America, Florida, North Miami Beach",-,"$170,100"
Patek Philippe Nautilus,Automatic,White gold,2016,Unworn,5976/1G-001,"Original box, original papers","United Kingdom, Bishops Stortford",44 mm,"$443,065"
Patek Philippe Annual Calendar,Automatic,White gold,2024,Unworn,5396G-011,"Original box, original papers","United States of America, Florida, Miami",38 mm,Price on request
Patek Philippe Annual Calendar,Automatic,Rose gold,2020,Very good,5396R-015,"Original box, original papers",Switzerland,38 mm,"$65,950"
Patek Philippe Nautilus,Automatic,Steel,2009,Very good,5712/1A-001,"Original box, original papers","United Kingdom, Radlett",40 x 38 mm,"$130,332"
Patek Philippe Calatrava,Automatic,Red gold,-,Good,5153R-001,"Original box, original papers","Japan, Fukuoka Chuo-ku, Fukuoka",38 mm,"$32,123"
Patek Philippe Aquanaut,Automatic,Steel,2021,Unworn,5167/1A-001,"Original box, original papers","Germany, Ludwigsburg",40 mm,"$77,838"
Patek Philippe World Time Chronograph,Automatic,Platinum,2024,Unworn,5930P-001,"Original box, original papers","United States of America, Florida, Miami",39.5 mm,"$107,904"
Patek Philippe Golden Ellipse,Quartz,Yellow gold,1997,Good,4833/13,"Original box, no original papers","Poland, Warszawa",23 mm,"$10,729"
Patek Philippe Calatrava,Manual winding,Rose gold,-,Good,5123R-001,"No original box, no original papers","Hong Kong, Kwun Tong",38 mm,"$15,592"
Patek Philippe,Manual winding,Yellow gold,-,Very good,4311J,"No original box, no original papers","Japan, Chuo-ku, Tokyo",25 x 21 mm,"$9,152"
Patek Philippe Calatrava,Manual winding,Rose gold,2022,Unworn,6119R-001,"Original box, original papers","Singapore, 207642",39 mm,"$34,095"
Patek Philippe Complications,Automatic,White gold,-,Very good,5180/1G-010,"No original box, no original papers","Hong Kong, HONG KONG",39 mm,"$70,396"
